vehicle_type_code1,collision_count
boxtr,1
Sweeper,1
DUMPS,1
ManPower s,1
FREIGHTLIN,4
HOUSE ON W,1
Road Sweep,2
VA,1
EMS T,1
f15,1
11111,1
OIL T,2
MDX,1
TR-Trailer,1
UNKWOWN,1
Smart,1
GOVERNMENT,3
oml,1
TRUCK/VAN,1
U-Hau,1
dhl t,1
fdny ambul,1
renta,1
ECONO,1
UPS,1
FLYWING MO,1
LADDER TRU,2
Food Trail,1
dodge,1
Postal tru,2
bulld,1
nyc EMS,1
UNKOW,2
C 1,1
Pass,2
Tractor Tr,3
L1,1
e1,1
E SCOOTER,3
FDNY truck,4
PAYLO,2
fed ex tru,1
50cc mini,1
ABULANCE,1
Pick up tr,6
ROAD SWEEP,12
NYC SANITA,3
suv,3
amdu,1
utv bobcat,1
EBIKE,4
BoxTr,1
semi-trail,1
road sweep,1
CONCR,1
HORSE TRAI,2
OTH,1
acces,2
Mcy,1
E COM,1
horse,1
EMS Ambula,2
Crane,2
WINNE,3
ice c,2
City Owned,1
In Line Sk,1
GAS SCOOTE,2
FORD F-150,1
SKYWATCH,1
street swe,1
Unknown ve,1
SANTI,1
FUSION,1
MOVING VAN,1
WORK,2
R.M.P.,1
CON E,1
SD,1
box van,1
SWT,2
ONE WHEEL,1
POLIC,1
omni,1
MOPD,5
PASSANGER,2
SYBN,1
delivery t,2
flat,1
NEW Y,2
E bike,1
subur,2
PAS V,1
PSP,1
Dump Truck,2
VMS,3
NYFD ambul,1
TRAILER/FL,1
US MAIL #1,1
food,2
Commer Veh,1
Dot,1
MAC T,1
mini van,1
movin,1
Grumman LL,2
Hearse,1
Cargo,1
Ambulence,1
MCY B,1
marke,1
12 passage,1
COT,1
SE,3
3 WHE,2
commerial,1
NYPD VAN,1
White ambu,1
dumps,1
CHEVR,1
UPS TRUCK,3
SCHOOLBUS,1
EMERGENCY,1
12 Pa,1
E SCO,1
Dumb Truck,1
NYPD Traff,1
LADDER,1
courier,1
GRUMM,1
LD,1
Piggy back,1
rz,1
LEFT,2
SW/VAN,1
SMYELLSCHO,1
stak,1
ORION,1
DUMPT,2
e bike uni,1
DELIVERY T,7
CITY OWNED,1
Isuzu,1
REG,1
Motor,4
FREIGHT FL,1
OMS,2
Picku,2
TR/KI,1
2015,1
E3,1
X TRL,1
Cargo van,2
"USPS TRUC,",1
E MOTORCYC,1
RAZOR150 M,1
Asphalt Pa,1
Cement tru,1
DODGE RAM,1
0,1
HOSRE,1
other,4
E REVEL SC,1
tlc,1
3DC-,1
UHUAL,1
FDNY LADER,1
Pick up Tr,3
CMIX,4
Wagon,2
Fdny engin,1
4 RUN,1
police rep,1
TC,1
FORK-,1
Ford picku,1
ems b,1
SANMEN COU,1
pick up,2
tk,6
U HAUL TRU,1
GAS POWERE,1
Motor Home,3
SNOW PLOW,1
MOTORSCOOT,3
st,1
PV HOLDING,1
TRALI,1
1,3
Power shov,1
Ebike,2
FLATBED FR,1
Work van,1
2 DR,1
e amb,1
backhoe,1
Com,5
Snow,1
Landscapin,1
USPS posta,1
FDNY FIRET,5
OLC,1
18 WHEELER,2
bobct,1
Ford f150,1
U-HAUL TRU,1
FEDEX,4
Flatbed,1
Front-Load,1
bobca,2
p/sh,4
NISSA,2
FREIGHT TR,2
pay loader,1
dump truck,3
VAB,1
J1,1
VANG,1
wag,1
FRT,1
DOT R,1
Grail,1
CRF Carria,1
H1,1
Farm,1
conti,1
WORKM,1
EAMB,1
ASPHALT RO,1
LOADE,1
BOX,3
ambulette,1
HUMVEE,1
NYNJ RAIL,1
FIRET TRUC,1
E- Bi,1
Cargo Van,2
Van (,1
FOOD TRUCK,1
MTA truck,1
DETACHED T,1
HINO,4
delivery v,1
Ice Cream,2
Freight,2
refuse tru,1
Tractor tr,4
VAN A,1
paylo,1
e skate bo,1
u-hau,1
delie,1
DEMA-,1
NYC M,1
skateboard,1
T880,1
truck trai,1
