vehicle_type_code1,collision_count
nycha,1
RV/VAN,1
GRUMM,1
FRT,1
F150XL PIC,1
MTR H,1
nissa,1
SONATA,1
Carriage,1
LCOM,1
5,1
FIRET TRUC,1
CHEVY,1
TAN P,1
delivery v,1
hino,1
usps  van,1
ESU REP,1
concr,1
NYC M,1
FDNY EMT,1
Cement tru,1
BACK HOE,1
Fdny Fire,1
SCOOTER GA,1
tower,1
LTRL,1
RV/Tr,1
F550 ESU R,1
TRUCK COMM,1
ELECTRIC B,1
POLICE VEH,1
3DOOR,1
COM DELIVE,1
FLAT RACK,1
rmb,1
r/v,1
mini van,1
Power shov,1
Nypd,1
Van T,1
99999,1
USPS Mail,1
USP M,1
NYCHA Van,1
ManPower s,1
tractor tr,1
CHASSIS &,1
KME/F,1
SCOO,1
CHEVROLET,1
Snow,1
Detached t,1
Car carrie,1
E ONE,1
Work,1
P/U,1
subar,1
Track trai,1
principle,1
HRSE,1
ASPHALT RO,1
towe truck,1
HUMVEE,1
E- Bi,1
FEIG,1
F650,1
STACK,1
van truck,1
MECHANICAL,1
paylo,1
REF BOX TR,1
ME/BE,1
delie,1
NYPD TOW T,1
Trc,1
Mcy,1
CAMPER VAN,1
lmb,1
NYC BUS,1
NYC D,1
ХР06,1
HORSE DRAW,1
Horse carr,1
Garbage,1
SKID STEER,1
TRAILER CA,1
HERTZ RAM,1
Constructi,1
AMAZON TRU,1
SYBN,1
Ems truck,1
G com,1
YALE,1
gas scoote,1
Rescue Tru,1
WORKH,1
VAn,1
SNOW PLOW,1
prks,1
Farm Vehicle,1
TRALI,1
9999,1
2 WHE,1
ALL TERRAI,1
HOUSE ON W,1
ukn,1
range,1
passa,1
TRUCK/VAN,1
CAT,1
TRuck,1
RESCU,1
U-Hau,1
Electric s,1
e tow,1
DELV WH,1
Flatbed,1
UPS,1
gokar,1
Power Shov,1
EMERGENCY,1
pay loader,1
e com,1
DUMPSTER T,1
skate,1
PASS-,1
Penske Box,1
Feder,1
fed ex tru,1
rd/s,1
PUMPE,1
AMABU,1
Util,1
Cat 9,1
excav,1
Bread truc,1
PEDIC,1
T/ CR,1
Wheel,1
pOSTA,1
FD LADDER,1
skateboard,1
ROADS,1
EMS FDNY B,1
SKYWATCH,1
FDNY fire,1
REFR,1
GEN  AMBUL,1
PEDAL BIKE,1
ford econo,1
 omm,1
OMT/T,1
SPR,1
EMRGN,1
DEPT VAN #,1
PROMASTER,1
Ford sprin,1
PRIVA,1
pedic,1
Sprinter W,1
SHUTTLE BU,1
FORK-,1
Lim,1
pc,1
SCHOOL  BU,1
Traffic To,1
CAB,1
1S,1
Dot,1
fd tr,1
Dent and S,1
