"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS","day_month"
"161",5,2018,"2",14,2018-02-14,41.1,29.8,1028.1,10,3.8,8.9,15.9,53.1,26.1,0.01,0,0,671,"14-02"
"162",5,2016,"2",10,2016-02-10,34.8,24.2,1003.1,7.5,3.8,8.9,20,39,27,0.01,0,0,537,"10-02"
"163",2,2018,"2",4,2018-02-04,35.2,20.6,1023.9,8.9,3.9,8,24.1,45,16,0,0,0,541,"04-02"
"164",6,2013,"2",28,2013-02-28,45.2,32.9,1002.1,9.8,3.9,8,15,51.1,43,0.44,0,0,517,"28-02"
"165",5,2014,"2",19,2014-02-19,38.4,28.2,1014.5,6.8,3.9,8.9,17.1,45,26.1,0.09,18.1,0,552,"19-02"
"166",5,2015,"2",4,2015-02-04,31.2,17.3,1023,9.1,4,8,14,42.1,12.9,0,7.9,0,585,"04-02"
"167",2,2016,"2",7,2016-02-07,39.1,20.8,1021.5,10,4,8.9,17.1,46.9,30,0,0,0,423,"07-02"
"168",5,2017,"2",1,2017-02-01,39.6,26.6,1012.1,9.2,4.1,8.9,20,46.9,26.1,0.06,0,0,574,"01-02"
"169",2,2014,"2",23,2014-02-23,48.6,26,1014.8,10,4.1,6,17.1,54,39.9,0,9.8,0,414,"23-02"
"170",4,2014,"2",18,2014-02-18,32,18.5,1020.7,7.1,4.2,8.9,18.1,39,26.1,0.07,16.9,1,518,"18-02"
"171",1,2017,"2",18,2017-02-18,45.7,21.7,1009.3,10,4.2,8,17.1,63,26.1,0,0,0,570,"18-02"
"172",6,2018,"2",1,2018-02-01,37.5,21.2,1015.2,9.9,4.3,12,22.9,45,18,0,0,0,594,"01-02"
"173",2,2016,"2",21,2016-02-21,52.8,31.8,1011.7,10,4.3,8.9,20,61,39,0,0,0,481,"21-02"
"174",1,2017,"2",11,2017-02-11,37.3,21.5,1015.6,9.6,4.4,13,21,48,19,0,7.9,0,511,"11-02"
"175",1,2014,"2",8,2014-02-08,25.9,5,1025.2,10,4.4,8.9,15,32,21,0,9.1,0,424,"08-02"
"176",3,2016,"2",22,2016-02-22,45.3,26.8,1017.9,10,4.5,8.9,15.9,55,37.9,0.03,0,0,615,"22-02"
"177",1,2018,"2",24,2018-02-24,46.1,40.5,1021.7,8.5,4.5,12,19,55,39.9,0.06,0,0,540,"24-02"
"178",7,2018,"2",9,2018-02-09,29.9,14.7,1032.5,10,4.5,8.9,18.1,35.1,25,0,0,0,583,"09-02"
"179",4,2018,"2",20,2018-02-20,54.4,50.1,1026.2,5.7,4.5,9.9,18.1,66.9,36,0.04,0,0,535,"20-02"
"180",5,2017,"2",15,2017-02-15,40.3,29.5,1000.1,9.4,4.6,15.9,25.1,46.9,28,0,2,0,603,"15-02"
"181",1,2015,"2",14,2015-02-14,23.4,4.9,1014,8.5,4.6,8.9,20,32,8.1,0,7.9,0,436,"14-02"
"182",6,2015,"2",12,2015-02-12,32.3,19.4,1009.9,8.9,4.6,8.9,21,39.9,21.9,0,7.9,0,526,"12-02"
"183",1,2015,"2",21,2015-02-21,20.5,3.2,1031.1,7.7,4.6,8,17.1,28.9,1.9,0,9.1,0,517,"21-02"
"184",6,2017,"2",2,2017-02-02,39.5,22.2,1017.4,10,4.7,11.1,21,46.9,33.1,0,0,0,586,"02-02"
"185",4,2013,"2",5,2013-02-05,29.1,20.3,1013.8,6.5,4.7,8.9,15,30,28,0.01,0,0,566,"05-02"
"186",2,2018,"2",18,2018-02-18,37.2,27.4,1023.6,7.1,4.7,9.9,18.1,44.1,28,0.53,0,1,472,"18-02"
"187",5,2016,"2",3,2016-02-03,48.8,40.3,1022.7,7.7,4.7,9.9,22,57,37.9,0,0,0,579,"03-02"
