rounded_latitude,rounded_longitude,no_of_collisions
40.74,-73.8942,216
40.7466,-73.8262,216
40.7488,-73.9698,216
40.8158,-73.8954,216
40.617,-73.9691,216
40.7543,-73.8975,216
40.612,-73.9682,215
40.6798,-73.9583,215
40.6889,-73.9992,215
40.7067,-74.0159,215
40.7394,-73.7919,215
40.7405,-73.8444,215
40.7495,-73.9774,215
40.7655,-73.9547,215
40.7788,-73.954,215
40.8012,-73.93,215
40.8116,-73.9316,215
40.7616,-73.9903,215
40.6769,-73.9218,215
40.7567,-73.8288,215
40.6684,-73.9226,214
40.7008,-73.995,214
40.709,-73.8415,214
40.7199,-73.809,214
40.7529,-73.9855,214
40.7609,-73.967,214
40.7849,-73.9466,214
40.691,-73.9893,214
40.6806,-73.9534,213
40.6941,-73.828,213
40.7733,-73.9551,213
40.7786,-73.9816,213
40.8121,-73.936,213
40.8771,-73.9061,213
40.8627,-73.9023,213
40.6437,-73.9007,213
40.6402,-73.906,212
40.7141,-73.9529,212
40.7279,-73.9291,212
40.7485,-73.9887,212
40.7605,-73.9837,212
40.7986,-73.9416,212
40.7609,-73.9691,212
40.6215,-74.0262,212
40.712,-73.9407,211
40.7511,-73.9869,211
40.7617,-73.9749,211
40.7627,-73.8333,211
40.7861,-73.9393,211
40.8736,-73.8185,211
40.6902,-73.9944,210
40.7354,-73.9751,210
40.7415,-73.9896,210
40.7497,-73.9953,210
40.832,-73.9351,210
40.8789,-73.9048,210
40.7636,-73.9777,210
40.7073,-73.7512,210
40.5946,-73.9974,209
40.7168,-73.8202,209
40.7337,-73.924,209
40.7547,-73.8331,209
40.7648,-73.9843,209
40.7669,-73.9791,209
40.6505,-73.9236,209
40.6543,-73.9176,209
40.7183,-73.9874,208
40.7407,-73.8442,208
40.7416,-74.0049,208
40.7434,-73.7755,208
40.7533,-73.9069,208
40.7566,-73.9903,208
40.7605,-73.98,208
40.8658,-73.92,208
40.7528,-73.9793,208
40.7629,-73.9677,208
40.8043,-73.9216,208
40.6697,-73.9107,208
40.6421,-74.0204,208
40.749,-73.8969,208
40.6716,-73.9503,207
40.712,-73.8255,207
40.7304,-73.9137,207
40.7343,-73.938,207
40.7577,-73.9948,207
40.7165,-73.997,207
40.8097,-73.903,207
40.5665,-74.1138,206
40.6209,-73.9753,206
40.6673,-73.7393,206
40.6811,-73.9557,206
40.6905,-73.9879,206
40.7141,-73.9516,206
40.7329,-73.9204,206
40.7424,-74.0088,206
40.7464,-73.9776,206
40.7579,-73.9893,206
40.7664,-73.951,206
40.7832,-73.9436,206
40.868,-73.8791,206
40.6355,-73.9133,206
40.6941,-73.8974,206
40.6501,-73.961,205
40.6811,-73.9644,205
40.7056,-73.8582,205
40.735,-73.8614,205
40.7517,-73.9708,205
40.7524,-73.9703,205
40.7986,-73.9335,205
40.8518,-73.9092,205
40.867,-73.9231,205
40.8242,-73.8588,205
40.5589,-74.1977,204
40.6113,-74.1147,204
40.6146,-73.9687,204
40.6324,-73.8882,204
40.6385,-73.9732,204
40.668,-73.8701,204
40.7207,-73.9813,204
40.8334,-73.8591,204
40.8345,-73.9177,204
40.758,-73.9818,204
40.8487,-73.9033,204
40.7363,-73.7729,204
40.7116,-73.7294,204
40.7033,-73.8002,204
40.6084,-74.1554,203
40.6921,-73.9825,203
40.7917,-73.9647,203
40.8179,-73.8933,203
40.7756,-73.9605,203
40.6525,-73.9527,202
40.6532,-74.0056,202
40.6878,-73.987,202
40.7179,-73.832,202
40.7589,-73.9997,202
40.8091,-73.9229,202
40.8201,-73.9551,202
40.8328,-73.9458,202
40.7479,-73.9892,202
40.765,-73.9767,202
40.7596,-73.968,202
40.6548,-74.0071,201
40.6667,-73.8117,201
40.675,-73.802,201
40.752,-73.932,201
40.7579,-73.9777,201
40.7586,-73.9813,201
40.7611,-73.9795,201
40.7643,-73.9556,201
40.7644,-73.7227,201
40.7954,-73.922,201
40.741,-73.9343,201
40.7258,-73.7917,201
40.6631,-73.9624,200
40.6665,-73.9962,200
40.7574,-73.7389,200
40.7636,-73.9714,200
40.7095,-74.0017,200
40.71,-73.7947,199
40.7137,-74.0138,199
40.7345,-73.8632,199
40.7568,-73.9827,199
40.7879,-73.9537,199
40.797,-73.9378,199
40.5763,-73.9685,199
40.7623,-73.757,199
40.7144,-73.8313,198
40.7508,-73.9745,198
40.7597,-73.9917,198
40.7637,-73.9621,198
40.8847,-73.8313,198
40.7388,-73.9831,198
40.8275,-73.9249,198
40.5823,-74.1691,197
40.7114,-74.0086,197
40.7567,-73.9865,197
40.761,-73.9908,197
40.7649,-73.9726,197
40.7654,-73.8279,197
40.7674,-73.9501,197
40.7712,-73.8334,197
40.8778,-73.8681,197
40.6107,-74.0958,196
40.6667,-73.8718,196
40.7136,-74.0091,196
40.7229,-73.9887,196
40.7503,-73.9832,196
40.7594,-73.9851,196
40.7472,-73.9934,196
40.7098,-74.0148,196
40.7206,-74.0035,196
40.6543,-73.9222,195
40.6843,-73.846,195
40.7133,-73.8716,195
40.7226,-74.0064,195
40.7567,-73.9209,195
40.8341,-73.9449,195
40.6835,-73.976,195
40.5424,-74.1459,194
40.6025,-73.9664,194
40.7352,-73.9917,194
40.7609,-73.9945,194
40.5842,-73.9638,193
40.7501,-73.9749,193
40.8233,-73.9429,193
40.8411,-73.9447,193
40.8479,-73.9452,193
40.6522,-73.9614,193
40.6903,-73.9988,192
40.7533,-73.9126,192
40.8537,-73.8719,192
40.7669,-73.9214,192
40.6532,-73.9662,192
40.6451,-73.9023,192
40.7489,-73.8927,192
40.7139,-73.754,192
40.6361,-73.9727,191
40.6684,-73.9201,191
40.746,-73.9943,191
40.7516,-73.9823,191
40.7632,-73.7581,191
40.7689,-73.9069,191
40.7707,-73.7355,191
40.7571,-73.9973,191
40.8477,-73.901,191
40.6501,-73.9302,191
40.6511,-73.89,191
40.7033,-73.7961,191
40.6306,-73.8859,190
40.655,-74.007,190
40.6662,-73.7918,190
40.6898,-73.8501,190
40.7151,-73.7736,190
40.7348,-73.8746,190
40.7378,-73.9357,190
40.7454,-73.991,190
40.7555,-73.9681,190
40.7603,-73.9675,190
40.7672,-73.8878,190
40.8032,-73.9525,190
40.7554,-73.9795,190
40.7603,-73.995,190
40.6386,-73.9483,189
40.6664,-73.8018,189
40.673,-73.7881,189
40.6863,-73.7939,189
40.7064,-73.7925,189
40.7104,-73.8596,189
40.751,-73.9827,189
40.761,-73.987,189
40.7763,-73.9621,189
40.7831,-73.9783,189
40.8347,-73.9444,189
40.7585,-73.9772,189
40.8069,-73.9356,189
40.8247,-73.8919,189
40.6466,-73.9246,189
40.6483,-73.9714,188
40.6663,-73.8348,188
40.717,-73.7994,188
40.7572,-73.834,188
40.8636,-73.926,188
40.7448,-73.9914,188
40.5828,-74.1304,187
40.6505,-73.9558,187
40.7543,-73.7433,187
40.7578,-73.793,187
40.7838,-73.98,187
40.7906,-73.9424,187
40.7214,-73.9974,187
40.6765,-73.9137,187
40.6669,-73.8042,187
40.6664,-73.7386,187
40.5836,-73.9841,186
40.5983,-73.9612,186
40.6671,-73.7638,186
40.7599,-73.9804,186
40.7643,-73.9235,186
40.7694,-73.9103,186
40.8326,-73.9254,186
40.8398,-73.9054,186
40.8418,-73.9454,186
40.8549,-73.9168,186
40.8675,-73.8974,186
40.6676,-73.7374,186
40.6526,-74.0062,185
40.6736,-73.7335,185
40.6783,-73.9469,185
40.6869,-73.9848,185
40.7433,-73.7757,185
40.7552,-73.9712,185
40.7599,-73.9368,185
40.8469,-73.9206,185
40.7511,-73.9713,185
40.6694,-73.8952,185
40.6639,-73.951,184
40.666,-73.7895,184
40.7142,-74.0063,184
40.7334,-73.8667,184
40.7355,-73.917,184
40.7482,-73.9763,184
40.7505,-73.9717,184
40.7617,-73.9866,184
40.763,-73.9719,184
40.7929,-73.9479,184
40.8188,-73.956,184
40.8284,-73.8439,184
40.8582,-73.8843,184
40.7608,-74.0022,184
40.7679,-73.9815,184
40.7561,-73.9832,184
40.6699,-73.9189,183
40.6909,-73.9554,183
40.7662,-73.9198,183
40.8421,-73.8256,183
40.8765,-73.8706,183
40.773,-73.9822,183
40.5978,-73.9655,183
40.582,-73.9599,182
40.6355,-74.0096,182
40.6766,-73.8904,182
40.7269,-73.9999,182
40.7623,-73.9703,182
40.7471,-73.9813,182
40.7583,-73.9689,182
40.8068,-73.9175,182
40.7497,-73.9361,182
40.5837,-73.8937,181
40.6593,-73.889,181
40.6707,-73.9337,181
40.7166,-73.8287,181
40.7428,-74.0077,181
40.7629,-73.9894,181
40.7795,-73.9556,181
40.8451,-73.9149,181
40.7491,-73.9841,181
40.763,-73.9781,181
40.7718,-73.9792,181
40.8487,-73.9392,181
40.8132,-73.8984,181
40.8584,-73.8851,181
40.6421,-73.9294,181
40.6718,-73.7745,180
40.682,-73.9687,180
40.7429,-74.004,180
40.7457,-73.9721,180
40.7537,-73.9145,180
40.7947,-73.9699,180
40.8041,-73.9327,180
40.7489,-74.007,180
40.8102,-73.9374,180
40.6722,-73.8432,180
40.5792,-73.9819,179
40.5835,-73.9842,179
40.7284,-73.833,179
40.732,-73.9189,179
40.7422,-73.8044,179
40.7451,-73.9786,179
40.7592,-73.9767,179
40.8103,-73.9436,179
40.8188,-73.8921,179
40.8387,-73.9138,179
40.8746,-73.9097,179
40.7508,-73.9744,179
40.7559,-73.9728,179
40.6962,-73.8045,179
40.625,-74.1458,178
40.7296,-73.8338,178
40.7387,-73.8143,178
40.7574,-73.9823,178
40.8276,-73.85,178
40.8559,-73.9172,178
40.7505,-73.9873,178
40.8456,-73.9021,178
40.6295,-73.9442,178
40.5709,-74.1698,177
40.6532,-73.8669,177
40.7185,-73.7353,177
40.7289,-73.9718,177
40.74,-73.8457,177
40.753,-73.9699,177
40.7598,-73.9763,177
40.7674,-73.9824,177
40.8211,-73.8989,177
40.734,-73.8718,177
40.6626,-73.9089,176
40.6671,-73.7827,176
40.6727,-73.7354,176
40.7092,-73.8411,176
40.7141,-73.9543,176
40.7229,-73.8473,176
